Year,Company Name,Stock Exchange,Industry,Country (Emerging Economy),Closing Stock Price,Market Index Value (for comparison),Trading Volume,Debt Restructuring Announcement Date,Type of Debt Restructuring,Return on Assets (ROA),Return on Equity (ROE)
2024,Six Flags Entertainment Corporation,NYSE,Entertainment,No,25.6,4500,500000,15/04/2020,Bankruptcy Reorganization,1.2,5.4
2024,General Motors,NYSE,Automobile,No,42.3,3500,1200000,01/06/2009,Government Bailout,3.4,12.3
2024,Chrysler Group,Not Listed,Automobile,No,,,,,,,
2024,American Airlines,NASDAQ,Airlines,No,15.2,15000,800000,29/11/2011,Bankruptcy Reorganization,2.1,7.8
2024,Eastman Kodak Company,NYSE,Photography,No,4.8,11000,600000,19/01/2012,Bankruptcy Reorganization,0.8,2.5
2024,Dynegy Inc.,NYSE,Energy,No,10.5,12000,400000,02/07/2011,Debt-for-Equity Swap,-1.5,-3.2
2024,Hawker Beechcraft,Private,Aerospace,No,,,,,,,
2024,Eddie Bauer,Private,Retail,No,,,,17/06/2009,Bankruptcy,,
2024,Rusal,Moscow Exchange,Metals & Mining,Yes,8.7,1500,900000,08/02/2022,Debt-for-Equity Swap,4.2,10.8
2024,Caesars Entertainment,NASDAQ,Hospitality,No,9.3,14000,700000,15/01/2015,Chapter 11,-0.5,-1.7
2024,Thames Water,Private,Utilities,No,,,,,,,
2024,Garuda Indonesia,IDX,Airlines,Yes,0.55,7000,1200000,15/09/2020,Bankruptcy Reorganization,-2.1,-7.5
2024,China Evergrande Group,HKEX,Real Estate,Yes,0.31,25000,3000000,06/12/2021,Debt-for-Equity Swap,-5.3,-12.1
2024,Fortenova Group,Not Listed,Retail,No,,,,,,,
2024,Shimao Group,HKEX,Real Estate,Yes,0.89,27000,1500000,10/01/2022,Bankruptcy,-3.8,-9.3
2024,Sunac China Holdings,HKEX,Real Estate,Yes,1.02,29000,1700000,05/03/2022,Bankruptcy,-4.7,-10.5
2024,Hooters,Private,Hospitality,No,,,,,,,
2024,GFG Alliance,Private,Metals & Mining,No,,,,,,,
2024,Party City,NYSE,Retail,No,3.1,12000,500000,12/01/2023,Chapter 11,-0.9,-2.3
2024,Tupperware Brands,NYSE,Consumer Goods,No,1.5,11000,600000,18/04/2023,Chapter 11,-1.2,-3.5
2024,Big Lots,NYSE,Retail,No,8.2,11500,800000,22/06/2023,Debt Refinancing,0.5,2.1
2024,Jo-Ann Stores,NASDAQ,Retail,No,6.9,11800,700000,30/08/2023,Debt Refinancing,1.3,3.4
